"基金经理","年化Alpha","最大回撤","波动率","夏普Sharp","重仓股集中度","重行业集中度","总交易日","任职时间","规模中间值","规模最大值","成长Alpha","成长天数","价值Alpha","价值天数","牛市Alpha","牛市天数","熊市Alpha","熊市天数"
"庞世恩",-0.020038307749352505,-0.2136,0.1392287756098807,-0.143923608187864,3.748211932182312,65.77871875762939,479,"20160125-20180110",1618328194.95,1902790352.76,nan,0,-0.020038307749352505,479,-0.058463959625128195,476,nan,3
"庞琳琳",-0.11550917205731942,-0.078,0.05808596059095015,-1.9885902011804875,nan,nan,134,"20170628-20180110",325491545.48,326121571.55,nan,0,-0.11550917205731942,134,-0.11550917205731942,134,nan,0
"廖志峰",-0.030987683740012838,-0.1345,0.13094768933463152,-0.23664169942567725,36.747985541820526,nan,517,"20110226-20130413",463981722.63,912364960.01,nan,43,-0.024958247828991822,474,nan,86,0.020387055600424652,431
"张丹华",0.1288362349245634,-0.0778,0.1282385296341604,1.0046608869589204,nan,nan,160,"20170519-20180110",1194290116.92,5530064368.93,nan,0,0.1288362349245634,160,0.1288362349245634,160,nan,0
"张剑峰",-0.05852746280791578,-0.1629,0.14457420089495346,-0.40482646589512467,40.48568948109945,78.28805176417033,320,"20160919-20180110",2685703686.97,3430519561.93,nan,0,-0.05852746280791578,320,-0.05852746280791578,320,nan,0
"张勋",0.006604144945687095,-0.2058,0.19164732539169185,0.034459885793811304,36.52751407623291,67.16319711208344,767,"20141121-20180110",329844534.62,1127234012.67,nan,112,-0.03202324790031917,655,0.06493473558182679,611,-0.22185733504586,156
"张原",-0.1809986411924515,-0.1651,0.08842278567392049,-2.046968321716598,41.99740982055664,28.675511717796326,234,"20170125-20180110",206408859.19,281590206.81,nan,0,-0.1809986411924515,234,-0.1809986411924515,234,nan,0
"张宇帆",0.02398139741198379,-0.0937,0.13322294829534972,0.18000950826293102,40.91202384233475,64.16985529661179,458,"20160301-20180110",59755939.89,250368271.11,nan,0,0.02398139741198379,458,0.02398139741198379,458,nan,0
"张小仁",0.02267153263219798,-0.1581,0.18943250055303754,0.11968132483079574,74.30140590667725,56.12477890650431,274,"20160120-20170308",209877342.75,296507809.53,nan,0,0.02267153263219798,274,-0.057761911579792664,268,nan,6
"张少华",0.04191026516112343,-0.1047,0.12415608208945737,0.33756111223714436,18.009575366973877,nan,439,"20110616-20130408",202165247.08,514443331.18,nan,39,0.011205411202930228,400,nan,82,0.025528416624376247,357
